OBJECTID,GEO_ID,STATE,NAME,LSAD,CENSUSAREA,Fips,Area,Percent_of_US_1997,Percent_of_US_1998,Percent_of_US_1999,Percent_of_US_2000,Percent_of_US_2001,Percent_of_US_2002,Percent_of_US_2003,Percent_of_US_2004,Percent_of_US_2005,Percent_of_US_2006,Percent_of_US_2007,Percent_of_US_2008,Percent_of_US_2009,Percent_of_US_2010,Percent_of_US_2011,Percent_of_US_2012,Percent_of_US_2013,Percent_of_US_2014,Percent_of_US_2015,Percent_of_US_2016,GDP_in_dollars_1997,GDP_in_dollars_1998,GDP_in_dollars_1999,GDP_in_dollars_2000,GDP_in_dollars_2001,GDP_in_dollars_2002,GDP_in_dollars_2003,GDP_in_dollars_2004,GDP_in_dollars_2005,GDP_in_dollars_2006,GDP_in_dollars_2007,GDP_in_dollars_2008,GDP_in_dollars_2009,GDP_in_dollars_2010,GDP_in_dollars_2011,GDP_in_dollars_2012,GDP_in_dollars_2013,GDP_in_dollars_2014,GDP_in_dollars_2015,GDP_in_dollars_2016,Shape__Area,Shape__Length
25,0400000US10,10,Delaware, ,1948.543,10000,Delaware,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,33672000000,37298000000,41341000000,44851000000,47762000000,46985000000,48949000000,52376000000,53247000000,56001000000,56968000000,55293000000,57350000000,57471000000,59937000000,60628000000,61109000000,65888000000,68864000000,70387000000,8695473626,564436.0313
26,0400000US11,11,District of Columbia, ,61.048,11000,District of Columbia,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,51566000000,53802000000,57728000000,60059000000,64888000000,69060000000,72780000000,79040000000,83586000000,87496000000,92846000000,97372000000,98415000000,1.03831E+11,1.07738E+11,1.09685E+11,1.1189E+11,1.16309E+11,1.21119E+11,1.26815E+11,292690786.7,81817.53955
27,0400000US12,12,Florida, ,53624.759,12000,Florida,4.7,4.8,4.8,4.9,5,5.2,5.2,5.2,5.4,5.4,5.3,5.1,5,4.9,4.8,4.8,4.8,4.8,4.9,5,4.0234E+11,4.34494E+11,4.64773E+11,4.97541E+11,5.29627E+11,5.62431E+11,5.95304E+11,6.39276E+11,7.00267E+11,7.4617E+11,7.69817E+11,7.4832E+11,7.21755E+11,7.35098E+11,7.41455E+11,7.64136E+11,7.94644E+11,8.3234E+11,8.83861E+11,9.26817E+11,1.96197E+11,4583201.816
28,0400000US13,13,Georgia, ,57513.485,13000,Georgia,2.8,2.9,3,3,3,3,3,3,3,2.9,2.9,2.8,2.8,2.8,2.8,2.7,2.7,2.8,2.8,2.8,2.42153E+11,2.6395E+11,2.87725E+11,3.06528E+11,3.18226E+11,3.25863E+11,3.40627E+11,3.64062E+11,3.88342E+11,4.04206E+11,4.177E+11,4.11866E+11,4.04575E+11,4.12485E+11,4.24126E+11,4.39058E+11,4.54238E+11,4.77522E+11,5.01522E+11,5.2536E+11,2.15995E+11,2330577.175
29,0400000US15,15,Hawaii, ,6422.628,15000,Hawaii,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,37655000000,37585000000,39224000000,41472000000,43089000000,45581000000,49136000000,53755000000,58573000000,62054000000,65210000000,66692000000,65382000000,68225000000,70017000000,72532000000,74630000000,76835000000,80599000000,83917000000,19095078902,1616131.619
30,0400000US16,16,Idaho, ,82643.117,16000,Idaho,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,29489000000,31142000000,34302000000,38216000000,37611000000,38897000000,40703000000,43610000000,47176000000,51157000000,54507000000,55853000000,53882000000,55258000000,56744000000,58105000000,60854000000,63272000000,65460000000,67275000000,4.24689E+11,3949158.843
31,0400000US17,17,Illinois, ,55518.93,17000,Illinois,4.9,4.9,4.8,4.8,4.8,4.7,4.6,4.6,4.5,4.5,4.5,4.4,4.5,4.4,4.4,4.4,4.4,4.3,4.3,4.3,4.21596E+11,4.40034E+11,4.634E+11,4.91644E+11,5.03157E+11,5.13947E+11,5.31106E+11,5.58969E+11,5.86442E+11,6.21232E+11,6.46665E+11,6.42698E+11,6.38032E+11,6.53476E+11,6.79776E+11,7.1137E+11,7.21876E+11,7.47641E+11,7.72182E+11,7.91608E+11,2.49684E+11,2589530.483
32,0400000US18,18,Indiana, ,35826.109,18000,Indiana,2,2.1,2,2,2,2,2,2,1.9,1.9,1.9,1.9,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.72699E+11,1.8652E+11,1.95099E+11,2.05487E+11,2.06558E+11,2.14497E+11,2.25295E+11,2.38563E+11,2.45197E+11,2.56434E+11,2.70245E+11,2.73475E+11,2.62068E+11,2.82259E+11,2.9157E+11,2.99996E+11,3.1115E+11,3.24425E+11,3.33363E+11,3.41909E+11,1.59538E+11,2074987.973
33,0400000US19,19,Iowa, ,55857.13,19000,Iowa,1,0.9,0.9,0.9,0.9,0.9,0.9,1,0.9,0.9,1,0.9,1,1,1,1,1,1,1,1,83772000000,85629000000,88697000000,94792000000,95934000000,1.00221E+11,1.06651E+11,1.18023E+11,1.23353E+11,1.27961E+11,1.37598E+11,1.37741E+11,1.37069E+11,1.41697E+11,1.48843E+11,1.58246E+11,1.62305E+11,1.69843E+11,1.75809E+11,1.78766E+11,2.64802E+11,2459551.545
34,0400000US20,20,Kansas, ,81758.717,20000,Kansas,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,75172000000,79118000000,82643000000,86869000000,89331000000,91952000000,96368000000,99242000000,1.04884E+11,1.13362E+11,1.22498E+11,1.28108E+11,1.23986E+11,1.28542E+11,1.36884E+11,1.40964E+11,1.43471E+11,1.47585E+11,1.51845E+11,1.53258E+11,3.48437E+11,2568115.188
35,0400000US21,21,Kentucky, ,39486.338,21000,Kentucky,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.04831E+11,1.09619E+11,1.15418E+11,1.14592E+11,1.18302E+11,1.23039E+11,1.28081E+11,1.35666E+11,1.43875E+11,1.52133E+11,1.55441E+11,1.58847E+11,1.56319E+11,1.65974E+11,1.71835E+11,1.77046E+11,1.81135E+11,1.85748E+11,1.91897E+11,1.97043E+11,1.66724E+11,2698372.513
36,0400000US22,22,Louisiana, ,43203.905,22000,Louisiana,1.4,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.6,1.5,1.5,1.4,1.4,1.3,1.3,1.17982E+11,1.20493E+11,1.26357E+11,1.332E+11,1.38911E+11,1.40451E+11,1.55942E+11,1.71375E+11,1.99683E+11,2.07507E+11,2.09455E+11,2.18781E+11,2.10879E+11,2.32596E+11,2.36248E+11,2.41378E+11,2.34608E+11,2.42102E+11,2.38075E+11,2.35109E+11,1.67586E+11,3959404.359
37,0400000US27,27,Minnesota, ,79626.743,27000,Minnesota,1.8,1.9,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.57214E+11,1.67034E+11,1.75778E+11,1.91106E+11,1.9581E+11,2.03521E+11,2.16458E+11,2.3117E+11,2.43933E+11,2.50027E+11,2.58917E+11,2.64299E+11,2.58166E+11,2.69937E+11,2.82397E+11,2.9292E+11,3.04063E+11,3.16973E+11,3.26833E+11,3.35147E+11,4.5879E+11,4079354.742
38,0400000US28,28,Mississippi, ,46923.274,28000,Mississippi,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,58433000000,61112000000,63993000000,65937000000,67445000000,69231000000,73814000000,77778000000,81678000000,86291000000,91422000000,97134000000,93669000000,95810000000,96968000000,1.01351E+11,1.03523E+11,1.04284E+11,1.05871E+11,1.0768E+11,1.75243E+11,2923596.584
39,0400000US29,29,Missouri, ,68741.522,29000,Missouri,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.63526E+11,1.70692E+11,1.78605E+11,1.88736E+11,1.92227E+11,1.97222E+11,2.05164E+11,2.15606E+11,2.24091E+11,2.32795E+11,2.40613E+11,2.50088E+11,2.50436E+11,2.55865E+11,2.57225E+11,2.66245E+11,2.75911E+11,2.82034E+11,2.92718E+11,3.00891E+11,2.94372E+11,3024390.795
40,0400000US31,31,Nebraska, ,76824.171,31000,Nebraska,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,50605000000,52399000000,54223000000,57235000000,59846000000,61940000000,66931000000,70644000000,73455000000,77547000000,81926000000,84873000000,86961000000,92231000000,99935000000,1.01973E+11,1.06765E+11,1.12087E+11,1.13458E+11,1.15345E+11,3.57875E+11,2914125.805
41,0400000US33,33,New Hampshire, ,8952.651,33000,New Hampshire,0.4,0.5,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,38400000000,40652000000,42027000000,45519000000,46967000000,49091000000,51660000000,54327000000,57282000000,59947000000,61370000000,61442000000,62205000000,64159000000,65214000000,66948000000,68558000000,71100000000,74269000000,77855000000,46000124160,1254817.747
42,0400000US35,35,New Mexico, ,121298.148,35000,New Mexico,0.6,0.6,0.6,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,52564000000,50566000000,53060000000,55255000000,56378000000,58372000000,63642000000,70358000000,74403000000,77984000000,80896000000,86318000000,82838000000,86079000000,89261000000,90146000000,90834000000,94707000000,93230000000,93297000000,4.64393E+11,2899169.863
43,0400000US38,38,North Dakota, ,69000.798,38000,North Dakota,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,15769000000,16761000000,16958000000,17973000000,18971000000,20263000000,22194000000,23262000000,24622000000,26414000000,28887000000,32495000000,32489000000,36202000000,42164000000,52493000000,54965000000,59627000000,55927000000,52089000000,4.00349E+11,2711037.978
44,0400000US40,40,Oklahoma, ,68594.921,40000,Oklahoma,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,1.1,1,1,1.1,1.1,1.1,1.1,1,1,79915000000,81672000000,84642000000,91421000000,97441000000,99459000000,1.05899E+11,1.13929E+11,1.25243E+11,1.37584E+11,1.45693E+11,1.56398E+11,1.43648E+11,1.49913E+11,1.63868E+11,1.74305E+11,1.86007E+11,1.96767E+11,1.88011E+11,1.82937E+11,2.74419E+11,3092108.789
45,0400000US41,41,Oregon, ,95988.013,41000,Oregon,1.2,1.2,1.1,1.2,1.1,1.1,1.1,1.2,1.1,1.2,1.2,1.2,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.0079E+11,1.05526E+11,1.07742E+11,1.17557E+11,1.16653E+11,1.21204E+11,1.27622E+11,1.42328E+11,1.47535E+11,1.63564E+11,1.70941E+11,1.80934E+11,1.81022E+11,1.9112E+11,1.99929E+11,1.96973E+11,1.96594E+11,2.03326E+11,2.16522E+11,2.26821E+11,4.85177E+11,3208338.866
46,0400000US45,45,South Carolina, ,30060.696,45000,South Carolina,1.1,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,98196000000,1.04039E+11,1.10707E+11,1.15809E+11,1.20008E+11,1.24902E+11,1.31519E+11,1.36369E+11,1.43585E+11,1.51084E+11,1.60145E+11,1.62266E+11,1.60439E+11,1.64106E+11,1.70193E+11,1.74567E+11,1.81556E+11,1.91168E+11,2.01831E+11,2.09716E+11,1.17403E+11,1743612.379
47,0400000US46,46,South Dakota, ,75811,46000,South Dakota,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,19159000000,20328000000,21194000000,22875000000,23951000000,26793000000,28118000000,30261000000,31380000000,32520000000,35165000000,37246000000,36687000000,38176000000,42253000000,43056000000,44560000000,45470000000,47073000000,48139000000,3.91979E+11,2900188.273
48,0400000US50,50,Vermont, ,9216.657,50000,Vermont,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,15542000000,16143000000,17218000000,18391000000,19368000000,20250000000,21362000000,22664000000,23539000000,24319000000,24848000000,25467000000,25527000000,26633000000,27676000000,28195000000,28690000000,29360000000,30300000000,31092000000,48266756527,1228912.113
49,0400000US51,51,Virginia, ,39490.086,51000,Virginia,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.8,2.8,2.7,2.7,2.8,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.18652E+11,2.34071E+11,2.51056E+11,2.68371E+11,2.84485E+11,2.93065E+11,3.1024E+11,3.31335E+11,3.59273E+11,3.7918E+11,3.92553E+11,3.98817E+11,4.07302E+11,4.20862E+11,4.29174E+11,4.41144E+11,4.49235E+11,4.59068E+11,4.81721E+11,4.94349E+11,1.67396E+11,3648427.369
50,0400000US54,54,West Virginia, ,24038.21,54000,West Virginia,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,38673000000,39881000000,41854000000,42703000000,44057000000,45410000000,46671000000,49519000000,53453000000,56871000000,58873000000,62581000000,63866000000,67255000000,70945000000,70969000000,72082000000,74002000000,73384000000,73374000000,1.03038E+11,2504042.11
51,0400000US56,56,Wyoming, ,97093.141,56000,Wyoming,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,14719000000,14946000000,15771000000,17349000000,18831000000,19293000000,21235000000,23466000000,27454000000,32674000000,36331000000,42872000000,37129000000,39103000000,41499000000,40201000000,40968000000,41832000000,39415000000,37858000000,4.74215E+11,2776935.104
